scenario,strategy,runs,eligible_runs,task_completion_rate_mean,task_completion_rate_stdev,task_completion_rate_worst,elapsed_time_s_mean,elapsed_time_s_stdev,elapsed_time_s_worst,energy_consumption_ratio_mean,energy_consumption_ratio_stdev,energy_consumption_ratio_worst,communication_load_ratio_mean,communication_load_ratio_stdev,communication_load_ratio_worst,minimum_separation_m_mean,minimum_separation_m_stdev,minimum_separation_m_worst,recovery_rate_mean,recovery_rate_stdev,recovery_rate_worst
link_degradation,ai_assisted_hybrid,10,10,0.698509125,0.0,0.698509125,115.63200000000002,0.0,115.632,0.0066584072999999995,4.0080800456203323e-05,0.006713735,0.6290625,0.0,0.6290625,4.6912806766,0.036785655523861746,4.623028059,0.8,0.0,0.8
link_degradation,centralized_optimization,10,10,0.6707135,0.0,0.6707135,116.064,0.0,116.064,0.0073565595,3.263498603722686e-05,0.007397893,0.804375,0.0,0.804375,4.6705501562,0.03231913205979804,4.628078861,0.62,0.0,0.62
link_degradation,distributed_collaboration,10,10,0.636768,0.0,0.636768,116.928,0.0,116.928,0.006331846100000001,2.8710960452238474e-05,0.006379242,0.53625,0.0,0.53625,4.6698656242,0.023660947703413846,4.634498893,0.8800000000000001,0.0,0.88
link_degradation,fixed_partition,10,10,0.56954625,0.0,0.56954625,118.36799999999998,0.0,118.368,0.005995347900000001,3.046119545733546e-05,0.006051614,0.3609375,0.0,0.3609375,4.6994596025,0.021336468774596194,4.666201216,0.35,0.0,0.35
low_battery,ai_assisted_hybrid,10,10,0.713532,0.0,0.713532,115.63200000000002,0.0,115.632,0.0129341078,1.7095650229224943e-05,0.012967336,0.6290625,0.0,0.6290625,4.6765822489,0.044837334805992696,4.621694382,1.0,0.0,1.0
low_battery,centralized_optimization,10,10,0.685072,0.0,0.685072,116.064,0.0,116.064,0.013563957599999999,2.9386581819599297e-05,0.013620939,0.804375,0.0,0.804375,4.7197643403,0.04637326340763105,4.649956823,1.0,0.0,1.0
low_battery,distributed_collaboration,10,10,0.650496,0.0,0.650496,116.928,0.0,116.928,0.012571328400000002,2.4571429686528202e-05,0.01263034,0.53625,0.0,0.53625,4.6774511841,0.04120392601022045,4.619070623,1.0,0.0,1.0
low_battery,fixed_partition,10,10,0.58188,0.0,0.58188,118.36799999999998,0.0,118.368,0.012245974199999999,3.394005364108898e-05,0.012301521,0.3609375,0.0,0.3609375,4.6693041912,0.03401784824516831,4.616025788,1.0,0.0,1.0
nominal,ai_assisted_hybrid,10,10,0.713532,0.0,0.713532,115.63200000000002,0.0,115.632,0.0066604013,3.9781618401090824e-05,0.006714335,0.61,0.0,0.61,4.7104750289999995,0.04042514217138349,4.658248113,1.0,0.0,1.0
nominal,centralized_optimization,10,10,0.685072,0.0,0.685072,116.064,0.0,116.064,0.0073353479,3.004342565504136e-05,0.007389624,0.78,0.0,0.78,4.6674171855,0.03937108962838413,4.623377059,1.0,0.0,1.0
nominal,distributed_collaboration,10,10,0.650496,0.0,0.650496,116.928,0.0,116.928,0.0063351389,3.377404982364414e-05,0.006389166,0.52,0.0,0.52,4.7044286916,0.04154637812339364,4.648117065,1.0,0.0,1.0
nominal,fixed_partition,10,10,0.58188,0.0,0.58188,118.36799999999998,0.0,118.368,0.0060085642,1.825270644479879e-05,0.006039928,0.35,0.0,0.35,4.668154455,0.020902252323599803,4.638269263,1.0,0.0,1.0
target_change,ai_assisted_hybrid,10,10,0.634250667,0.0,0.634250667,115.63200000000002,0.0,115.632,0.0066669453,3.117760500760124e-05,0.006717985,0.6290625,0.0,0.6290625,4.6672576057,0.0308663256046861,4.625371327,1.0,0.0,1.0
target_change,centralized_optimization,10,10,0.608952889,0.0,0.608952889,116.064,0.0,116.064,0.007343370100000001,3.199358699317718e-05,0.007382757,0.804375,0.0,0.804375,4.690084649499999,0.03512372343697957,4.638155047,1.0,0.0,1.0
target_change,distributed_collaboration,10,10,0.578218667,0.0,0.578218667,116.928,0.0,116.928,0.0063307966999999995,4.054499721556293e-05,0.006379498,0.53625,0.0,0.53625,4.7125493118,0.0364910137528024,4.657332203,1.0,0.0,1.0
target_change,fixed_partition,10,10,0.517226667,0.0,0.517226667,118.36799999999998,0.0,118.368,0.0059912346,2.3780538981276256e-05,0.006028033,0.3609375,0.0,0.3609375,4.6816526748000005,0.04491563459020401,4.625832832,1.0,0.0,1.0
vehicle_failure,ai_assisted_hybrid,10,10,0.691234125,0.0,0.691234125,115.63200000000002,0.0,115.632,0.0066594244,2.950312418439778e-05,0.006711059,0.6290625,0.0,0.6290625,4.6812517292999996,0.03561672182111757,4.634973798,0.775,0.0,0.775
vehicle_failure,centralized_optimization,10,10,0.6636635,0.0,0.6636635,116.064,0.0,116.064,0.0073442935,3.2568255781512226e-05,0.007393437,0.804375,0.0,0.804375,4.6815272146,0.035090183322423196,4.628675762,0.600625,0.0,0.600625
vehicle_failure,distributed_collaboration,10,10,0.630168,0.0,0.630168,116.928,0.0,116.928,0.0063346667,2.491144277254935e-05,0.006367425,0.53625,0.0,0.53625,4.6837849171000006,0.042787771397865826,4.623726819,0.8525,0.0,0.8525
vehicle_failure,fixed_partition,10,10,0.56369625,0.0,0.56369625,118.36799999999998,0.0,118.368,0.0059947185,2.44394267578027e-05,0.006033606,0.3609375,0.0,0.3609375,4.6939962266,0.030261592331498707,4.643853386,0.3390625,0.0,0.3390625
