id,source,action,status,physical_complete,revision,phase,created_at,updated_at,duration_sec,confirmation_latency_sec,execution_duration_sec,verification_duration_sec,event_trace_available,terminal_event_count,terminal_consistent,takeoff_status,return_to_start_status,return_to_start_error_m,return_to_start_tolerance_m,return_to_start_within_tolerance,failed_step,failure_reason,title
gateway-mission-c26692ff927d4189bf9d95d8313b9ad4,gateway_db,workflow,completed,True,36,completed,1784878185.0298314,1784878286.621969,101.592,0.871,100.714,,True,1,True,completed,completed,0.30552972602516926,1.0,True,,组合任务完成：校赛演示主链：起飞 10.0 米、前飞 10.0 米、返起点并降落,执行组合任务：校赛演示主链：起飞 10.0 米、前飞 10.0 米、返起点并降落
gateway-mission-1831ae370a9f45fc8fb5b7f081c90454,gateway_db,workflow,completed,True,36,completed,1784878328.857667,1784878489.7954772,160.938,0.94,159.995,,True,1,True,completed,completed,0.35684493871392137,1.0,True,,组合任务完成：校赛演示主链：起飞 10.0 米、前飞 10.0 米、返起点并降落,执行组合任务：校赛演示主链：起飞 10.0 米、前飞 10.0 米、返起点并降落
gateway-mission-1aa2dbc29cb04a7c8a9d9945afd90b74,gateway_db,workflow,completed,True,36,completed,1784878524.3038657,1784878729.611935,205.308,0.882,204.423,,True,1,True,completed,completed,0.1489339300269976,1.0,True,,组合任务完成：校赛演示主链：起飞 10.0 米、前飞 10.0 米、返起点并降落,执行组合任务：校赛演示主链：起飞 10.0 米、前飞 10.0 米、返起点并降落
gateway-mission-5e95962e5593484b8f2552f32b64f35c,gateway_db,workflow,completed,True,36,completed,1784878795.610011,1784878867.0552447,71.445,1.097,70.333,,True,1,True,completed,completed,0.19285239386692932,1.0,True,,组合任务完成：校赛演示主链：起飞 10.0 米、前飞 10.0 米、返起点并降落,执行组合任务：校赛演示主链：起飞 10.0 米、前飞 10.0 米、返起点并降落
gateway-mission-6f1769d6605e4d17b5087c2702fd7366,gateway_db,workflow,completed,True,36,completed,1784878876.0987892,1784878979.8984084,103.8,1.087,102.708,,True,1,True,completed,completed,0.21607456135017722,1.0,True,,组合任务完成：校赛演示主链：起飞 10.0 米、前飞 10.0 米、返起点并降落,执行组合任务：校赛演示主链：起飞 10.0 米、前飞 10.0 米、返起点并降落
gateway-mission-59fd5b54e158421cb69ce9b2fb0978b4,gateway_db,workflow,completed,True,36,completed,1784879012.1674924,1784879125.0761266,112.909,0.866,112.04,,True,1,True,completed,completed,0.25575760142547305,1.0,True,,组合任务完成：校赛演示主链：起飞 10.0 米、前飞 10.0 米、返起点并降落,执行组合任务：校赛演示主链：起飞 10.0 米、前飞 10.0 米、返起点并降落
gateway-mission-d09aa05c7d144181af33547b0c43f71c,gateway_db,workflow,completed,True,36,completed,1784879191.7701988,1784879319.3313649,127.561,0.844,126.713,,True,1,True,completed,completed,0.16312739354228833,1.0,True,,组合任务完成：校赛演示主链：起飞 10.0 米、前飞 10.0 米、返起点并降落,执行组合任务：校赛演示主链：起飞 10.0 米、前飞 10.0 米、返起点并降落
gateway-mission-4b113ca79c484c7cb64a9b2512074f70,gateway_db,workflow,completed,True,36,completed,1784879645.0489483,1784879788.3162718,143.267,0.753,142.509,,True,1,True,completed,completed,0.06608703665004141,1.0,True,,组合任务完成：校赛演示主链：起飞 10.0 米、前飞 10.0 米、返起点并降落,执行组合任务：校赛演示主链：起飞 10.0 米、前飞 10.0 米、返起点并降落
gateway-mission-75daa4131e5a42b0bcd26fc3f8cbb35f,gateway_db,workflow,completed,True,36,completed,1784879924.6547668,1784880105.15883,180.504,0.813,179.682,,True,1,True,completed,completed,0.21978150183464357,1.0,True,,组合任务完成：校赛演示主链：起飞 10.0 米、前飞 10.0 米、返起点并降落,执行组合任务：校赛演示主链：起飞 10.0 米、前飞 10.0 米、返起点并降落
gateway-mission-d38b1b62338842e7a1f3cf89eba4a468,gateway_db,workflow,completed,True,36,completed,1784880125.5027962,1784880222.5857608,97.083,1.066,96.009,,True,1,True,completed,completed,0.09774233937838542,1.0,True,,组合任务完成：校赛演示主链：起飞 10.0 米、前飞 10.0 米、返起点并降落,执行组合任务：校赛演示主链：起飞 10.0 米、前飞 10.0 米、返起点并降落
